codeWilaya,Wilaya,MoughataaFr,Commune,Center,bureau,Candidat,Wilaya_ar,MoughataaAr,Commune_ar,Center_ar,bureau_ar,CandidatAr,Type,TypeAr,nbr_Inscrits,nb_bulletin,nb_votant_neutre,nb_votant_null,nb_vote
00,Etranger,Afrique,Côte d'Ivoire,interieur-Sanpedro,interieur-Sanpedro  01,Outouma Antoine Souleymane Soumaré,الخارج,إفريقيا,ساحل العاج,سانبيدرو,سانبيدرو  01,أوتوما أنتوان  سليمان سومارى,Présidentielles,الرئاسية,261,141,4,1,0
00,Etranger,Afrique,Côte d'Ivoire,interieur-Sanpedro,interieur-Sanpedro  01,Mamadou Bocar Ba,الخارج,إفريقيا,ساحل العاج,سانبيدرو,سانبيدرو  01,مامادو  بوكار با,Présidentielles,الرئاسية,261,141,4,1,0
00,Etranger,Afrique,Côte d'Ivoire,interieur-Sanpedro,interieur-Sanpedro  01,El Id Mohameden M’Bareck,الخارج,إفريقيا,ساحل العاج,سانبيدرو,سانبيدرو  01,العيد  محمدن امبارك,Présidentielles,الرئاسية,261,141,4,1,1
00,Etranger,Afrique,Côte d'Ivoire,interieur-Sanpedro,interieur-Sanpedro  01,Biram Dah  Abeid,الخارج,إفريقيا,ساحل العاج,سانبيدرو,سانبيدرو  01,بيرام الداه    اعبيد,Présidentielles,الرئاسية,261,141,4,1,80
00,Etranger,Afrique,Côte d'Ivoire,Abidjan-Ambassade ,Abidjan-Ambassade   01,Mohamed Cheikh Ghazouani,الخارج,إفريقيا,ساحل العاج,السفارة ابدجان,السفارة ابدجان  01,محمد   الشيخ الغزواني,Présidentielles,الرئاسية,883,431,9,9,64
00,Etranger,Afrique,Côte d'Ivoire,Abidjan-Ambassade ,Abidjan-Ambassade   01,Mohamed Lemine El Mourteji  El Wavi,الخارج,إفريقيا,ساحل العاج,السفارة ابدجان,السفارة ابدجان  01,محمد الامين  المرتجي الوافي,Présidentielles,الرئاسية,883,431,9,9,2
00,Etranger,Afrique,Côte d'Ivoire,Abidjan-Ambassade ,Abidjan-Ambassade   01,Hamadi Sid’El Moctar Mohamed Abdi,الخارج,إفريقيا,ساحل العاج,السفارة ابدجان,السفارة ابدجان  01,حمادى  سيد المختار محمد عبدى,Présidentielles,الرئاسية,883,431,9,9,117
00,Etranger,Afrique,Côte d'Ivoire,Abidjan-Ambassade ,Abidjan-Ambassade   01,Outouma Antoine Souleymane Soumaré,الخارج,إفريقيا,ساحل العاج,السفارة ابدجان,السفارة ابدجان  01,أوتوما أنتوان  سليمان سومارى,Présidentielles,الرئاسية,883,431,9,9,3
00,Etranger,Afrique,Côte d'Ivoire,Abidjan-Ambassade ,Abidjan-Ambassade   01,Mamadou Bocar Ba,الخارج,إفريقيا,ساحل العاج,السفارة ابدجان,السفارة ابدجان  01,مامادو  بوكار با,Présidentielles,الرئاسية,883,431,9,9,1
00,Etranger,Afrique,Côte d'Ivoire,Abidjan-Ambassade ,Abidjan-Ambassade   01,El Id Mohameden M’Bareck,الخارج,إفريقيا,ساحل العاج,السفارة ابدجان,السفارة ابدجان  01,العيد  محمدن امبارك,Présidentielles,الرئاسية,883,431,9,9,4
00,Etranger,Afrique,Côte d'Ivoire,Abidjan-Ambassade ,Abidjan-Ambassade   01,Biram Dah  Abeid,الخارج,إفريقيا,ساحل العاج,السفارة ابدجان,السفارة ابدجان  01,بيرام الداه    اعبيد,Présidentielles,الرئاسية,883,431,9,9,222
00,Etranger,Afrique,Côte d'Ivoire,Abidjan-Ambassade ,Abidjan-Ambassade   02,Mohamed Cheikh Ghazouani,الخارج,إفريقيا,ساحل العاج,السفارة ابدجان,السفارة ابدجان  02,محمد   الشيخ الغزواني,Présidentielles,الرئاسية,882,382,10,7,71
00,Etranger,Afrique,Côte d'Ivoire,Abidjan-Ambassade ,Abidjan-Ambassade   02,Mohamed Lemine El Mourteji  El Wavi,الخارج,إفريقيا,ساحل العاج,السفارة ابدجان,السفارة ابدجان  02,محمد الامين  المرتجي الوافي,Présidentielles,الرئاسية,882,382,10,7,8
00,Etranger,Afrique,Côte d'Ivoire,Abidjan-Ambassade ,Abidjan-Ambassade   02,Hamadi Sid’El Moctar Mohamed Abdi,الخارج,إفريقيا,ساحل العاج,السفارة ابدجان,السفارة ابدجان  02,حمادى  سيد المختار محمد عبدى,Présidentielles,الرئاسية,882,382,10,7,84
00,Etranger,Afrique,Côte d'Ivoire,Abidjan-Ambassade ,Abidjan-Ambassade   02,Outouma Antoine Souleymane Soumaré,الخارج,إفريقيا,ساحل العاج,السفارة ابدجان,السفارة ابدجان  02,أوتوما أنتوان  سليمان سومارى,Présidentielles,الرئاسية,882,382,10,7,2
00,Etranger,Afrique,Côte d'Ivoire,Abidjan-Ambassade ,Abidjan-Ambassade   02,Mamadou Bocar Ba,الخارج,إفريقيا,ساحل العاج,السفارة ابدجان,السفارة ابدجان  02,مامادو  بوكار با,Présidentielles,الرئاسية,882,382,10,7,2
00,Etranger,Afrique,Côte d'Ivoire,Abidjan-Ambassade ,Abidjan-Ambassade   02,El Id Mohameden M’Bareck,الخارج,إفريقيا,ساحل العاج,السفارة ابدجان,السفارة ابدجان  02,العيد  محمدن امبارك,Présidentielles,الرئاسية,882,382,10,7,4
00,Etranger,Afrique,Côte d'Ivoire,Abidjan-Ambassade ,Abidjan-Ambassade   02,Biram Dah  Abeid,الخارج,إفريقيا,ساحل العاج,السفارة ابدجان,السفارة ابدجان  02,بيرام الداه    اعبيد,Présidentielles,الرئاسية,882,382,10,7,194
00,Etranger,Afrique,Côte d'Ivoire,Abidjan Yopougon,Abidjan Yopougon  01,Mohamed Cheikh Ghazouani,الخارج,إفريقيا,ساحل العاج,ابدجان يوبوقوه,ابدجان يوبوقوه  01,محمد   الشيخ الغزواني,Présidentielles,الرئاسية,748,339,10,7,71
00,Etranger,Afrique,Côte d'Ivoire,Abidjan Yopougon,Abidjan Yopougon  01,Mohamed Lemine El Mourteji  El Wavi,الخارج,إفريقيا,ساحل العاج,ابدجان يوبوقوه,ابدجان يوبوقوه  01,محمد الامين  المرتجي الوافي,Présidentielles,الرئاسية,748,339,10,7,3
